	C8 (1)	C8 (3)	Control (1)	Control (2)	Control (3)
aes	-0.000096	-0.000096	0.000445	-0.000096	-0.000350
gsk	-0.007727	-0.007727	-0.007727	0.015054	-0.007727
ybaL	-0.016796	-0.018604	0.031761	-0.016796	-0.016796
fsr	0.061188	0.089417	0.000233	0.000233	-0.000466
ushA	-0.000122	-0.000375	0.000405	-0.000122	-0.000283
ybaK	0.000901	0.012461	0.000830	0.000615	-0.001449
ybaP	0.000158	0.011938	0.000420	-0.000208	-0.000212
ybaQ	0.059637	0.000012	-0.000487	0.000243	0.000243
copA	0.030560	-0.000441	0.000445	-0.000084	-0.000362
ybaS	0.317018	0.219935	-0.001055	0.004409	-0.003391
ybaT	0.115668	-0.000033	0.000505	-0.000280	-0.000225
cueR	0.091786	0.001234	0.001234	0.001192	-0.002436
ybbJ	-0.017260	-0.034330	0.031845	-0.016843	-0.016843
ybbL	-0.010887	-0.000534	0.001066	-0.000534	-0.000534
ybbM	-0.000414	-0.010307	0.000827	-0.000414	-0.000414
ybbN	0.037716	-0.038841	-0.007807	0.003851	0.003851
ybbO	-0.007640	-0.010692	-0.009133	0.016300	-0.007640
tesA	-0.000802	-0.028697	-0.001999	0.003971	-0.001999
ybbA	-0.000194	-0.000278	-0.000194	0.000389	-0.000194
ybbP	-0.000653	0.000030	0.000582	-0.000351	-0.000231
rhsD	-0.004137	-0.000846	-0.000846	-0.000846	0.001686
ybbC	-0.000775	0.004430	0.000000	0.000000	0.000000
ylbH	-0.001699	-0.001699	0.003428	-0.001749	-0.001699
ybbD	-0.001203	0.007503	-0.000188	-0.000441	0.000629
ylbG	-0.000461	-0.000461	0.001789	-0.000461	-0.001334
ybbB	0.000044	-0.000028	0.000498	-0.000028	-0.000471
allS	-0.012340	-0.010049	0.022580	-0.010049	-0.013450
allA	-0.000039	0.000000	0.000000	0.000000	0.000000
allR	0.057938	0.026901	-0.019071	0.010009	0.008450
gcl	-0.011721	-0.011721	-0.011721	-0.012002	0.022793
hyi	-0.000894	-0.000263	0.000526	-0.000263	-0.000263
glxR	-0.000215	-0.000215	0.000346	0.000098	-0.000444
ybbV	0.000157	0.000157	0.000157	0.000157	-0.000315
allB	0.000228	-0.000360	0.000758	0.000228	-0.000988
ybbY	-0.000031	0.003825	-0.000031	0.001326	-0.001299
glxK	-0.000105	-0.000105	0.000522	-0.000105	-0.000418
ylbA	-0.003183	-0.003183	-0.003183	-0.003183	0.006297
allC	-0.001641	0.051102	0.001001	-0.000135	-0.000868
allD	-0.000216	0.000752	0.000700	-0.000010	-0.000690
fdrA	-0.000408	-0.000425	0.000882	-0.000475	-0.000408
ylbE	0.000199	0.000199	0.000199	0.000284	-0.000484
ylbF	0.000181	0.000181	0.000913	0.000181	-0.001096
ybcF	-0.004852	-0.004442	-0.004442	-0.004442	0.008750
purK	0.001029	-0.044408	-0.000000	-0.000000	-0.000000
purE	0.046255	-0.004306	0.000000	0.000000	0.000000
lpxH	-0.008825	-0.023582	0.029231	-0.022052	-0.008825
ppiB	0.012276	0.013892	0.007711	-0.017485	0.009258
cysS	0.013627	-0.000040	0.000812	-0.000040	-0.000773
ybcJ	-0.007953	-0.025535	-0.003894	0.011601	-0.007953
folD	0.000000	0.000000	0.000000	0.000000	0.000000
sfmA	0.000019	0.000019	0.000204	0.000019	-0.000223
sfmC	-0.000589	-0.000126	0.000492	-0.000126	-0.000366
sfmD	-0.000121	-0.000088	0.000441	-0.000088	-0.000354
sfmH	-0.002642	-0.002642	0.005612	-0.002749	-0.002919
sfmF	-0.000163	-0.000090	0.000438	-0.000090	-0.000348
fimZ	-0.000080	0.021131	0.000000	0.000000	0.000000
intD	0.000607	0.000607	0.000607	0.000607	-0.001216
b0538	0.003810	0.000301	0.000301	-0.000602	0.000301
exoD	-0.000148	0.000108	0.000390	-0.000058	-0.000332
renD	-0.037653	-0.028560	-0.027809	-0.023674	0.047305
emrE	0.000133	0.000133	0.000679	0.000133	-0.000814
ybcK	-0.000640	-0.000016	-0.000016	0.000031	-0.000016
ybcL	0.000209	0.000209	0.000209	0.000209	-0.000418
ybcM	0.008623	0.048287	0.000703	-0.000223	-0.000481
ybcN	-0.003511	-0.003462	0.008695	-0.003462	-0.005368
ninE	-0.000149	-0.000149	0.000984	0.000015	-0.001001
ybcO	0.001603	0.054021	0.002896	-0.011673	0.008528
quuD	0.005691	0.052213	0.006937	-0.016316	0.008928
nmpC	-0.343110	-0.233862	-0.011864	0.000791	0.010777
essD	-0.044933	-0.046288	-0.043643	-0.024598	0.060952
arrD	-0.000601	-0.000388	0.000774	-0.000388	-0.000388
rzpD	-0.112005	-0.013300	-0.013300	0.003753	0.009230
ybcV	-0.002696	-0.002670	-0.002129	-0.002670	0.004760
ybcW	-0.001601	-0.001265	0.003381	-0.001265	-0.002136
nohB	-0.038539	0.089163	-0.005787	-0.000302	0.006008
tfaD	0.000136	0.000136	0.000136	0.000466	-0.000603
ybcY	-0.085964	0.075441	-0.033237	-0.033850	0.060190
tfaX	-0.000946	-0.000691	0.000521	0.000491	-0.001013
appY	0.059320	0.002042	-0.003472	0.002042	0.001409
ompT	-0.001422	-0.001422	-0.001422	-0.002383	0.003779
envY	0.000049	0.000049	0.000536	0.000049	-0.000586
nfrA	-0.002164	-0.003032	-0.000481	0.000960	-0.000481
nfrB	-0.000154	-0.000094	0.000447	-0.000169	-0.000279
cusS	-0.006835	-0.007106	-0.006835	-0.006835	0.013356
cusR	-0.002044	-0.020138	-0.001393	0.003907	-0.002542
cusC	0.004303	0.004303	-0.008735	0.004303	0.004303
cusF	-0.005917	0.083089	-0.005520	-0.026272	0.029922
cusB	-0.001307	-0.001254	-0.000716	0.002773	-0.002071
cusA	-0.000191	-0.000191	0.000924	-0.000554	-0.000371
pheP	-0.010085	-0.010294	0.019406	-0.010038	-0.010038
ybdG	0.123149	0.017245	-0.007728	0.006508	0.001102
nfsB	0.027483	0.010302	-0.003788	-0.002862	0.006575
ybdF	-0.000000	-0.000000	-0.000000	-0.000000	-0.000000
ybdJ	-0.009186	-0.024769	0.017775	-0.009149	-0.009186
ybdK	-0.000222	-0.000222	0.000910	-0.000689	-0.000222
entD	-0.007954	-0.007887	0.015875	-0.007522	-0.008801
fepA	-0.000910	0.051046	0.000807	-0.000970	0.000162
fes	0.000213	0.000213	0.000213	0.000213	-0.000426
entF	-0.000083	-0.000036	0.000703	-0.000036	-0.000668
fepE	-0.000038	-0.000019	0.000629	-0.000019	-0.000610
fepC	0.000164	0.000064	0.000164	0.000164	-0.000327
fepG	-0.000114	-0.000114	0.000532	-0.000114	-0.000419
fepD	-0.012122	-0.019332	-0.003560	0.015230	-0.012122
entS	-0.010878	-0.010878	-0.010878	0.022549	-0.012582
fepB	-0.000049	-0.000049	0.000817	-0.000339	-0.000480
entC	-0.033563	-0.022347	0.021368	-0.020097	-0.002269
entE	-0.001079	-0.000993	-0.000430	0.003326	-0.002919
entB	-0.005602	-0.004688	0.008965	-0.004418	-0.004688
entA	-0.000163	-0.000138	0.000548	-0.000138	-0.000410
ybdB	-0.003992	-0.004006	-0.003992	0.007875	-0.003992
cstA	0.000018	0.000091	0.000091	0.000434	-0.000526
ybdH	-0.004785	-0.006439	-0.000342	0.005668	-0.005397
ybdL	-0.009649	-0.010238	0.000167	-0.009909	0.009525
ybdM	-0.000753	0.000164	0.000624	0.000164	-0.000790
ybdN	-0.000993	-0.000993	-0.000993	0.003203	-0.002228
ybdO	-0.002149	0.010141	0.000179	0.001321	-0.001505
dsbG	0.029711	0.004999	0.000981	-0.001969	0.000981
ahpC	0.034731	-0.008317	-0.002741	0.005520	-0.002832
uspG	-0.002531	-0.002218	-0.002218	0.005438	-0.003271
ybdR	0.000031	0.045655	0.000031	-0.000046	0.000015
rnk	0.000008	-0.000051	0.000444	-0.000145	-0.000299
rna	0.067079	-0.000039	0.001192	-0.000705	-0.000490
citT	0.000164	0.000060	0.000506	-0.000400	-0.000107
citG	0.003507	-0.000225	0.001089	-0.000345	-0.000746
citX	-0.010503	-0.009218	-0.008705	0.018120	-0.009998
citF	-0.000333	-0.000191	0.000482	-0.000191	-0.000292
citE	-0.000118	-0.000033	-0.000033	0.000312	-0.000279
citD	-0.006510	-0.005760	-0.001255	-0.005376	0.006546
dpiB	-0.000402	-0.020706	-0.015234	0.028310	-0.014523
dpiA	0.043356	-0.000317	0.000000	0.000000	0.000000
dcuC	-0.000563	-0.000005	0.000660	-0.000005	-0.000656
pagP	0.006946	0.000973	0.000000	0.000000	0.000000
cspE	0.030253	-0.056167	0.008424	-0.003356	-0.005195
crcB	0.074760	0.026061	0.001417	0.001258	-0.002688
ybeH	-0.018136	-0.001060	-0.001060	-0.000370	0.001427
ybeM	-0.001320	-0.001292	-0.000659	-0.001337	0.001988
tatE	0.000741	0.000522	0.000741	0.000741	-0.001485
lipA	0.018554	0.000466	0.000466	0.000466	-0.000933
ybeF	0.018572	0.004693	0.001488	0.000335	-0.001830
lipB	0.085687	0.003278	-0.007315	-0.011070	0.017813
ybeD	0.042324	0.019772	0.012973	-0.027170	0.012973
dacA	0.007483	0.018745	-0.001827	0.000880	0.000942
rlpA	-0.006195	-0.007275	0.012288	-0.006358	-0.006195
mrdB	0.043683	-0.000503	0.000295	-0.000148	-0.000148
mrdA	-0.005788	-0.023793	0.009747	-0.006826	-0.003096
ybeA	-0.000296	-0.045472	0.000407	-0.000112	-0.000296
ybeB	-0.008096	-0.034215	-0.008096	0.015752	-0.008096
cobC	0.008797	-0.000146	0.001365	0.000418	-0.001789
nadD	0.033417	-0.007534	-0.009187	0.016251	-0.007534
holA	0.015805	-0.000367	0.000740	-0.000351	-0.000390
rlpB	0.000000	0.018328	0.000000	0.000000	0.000000
leuS	0.015606	-0.011139	0.005731	-0.005312	-0.000489
ybeL	0.031036	0.023273	-0.050289	0.023273	0.022962
ybeQ	-0.002549	-0.002462	-0.001839	-0.002509	0.004316
ybeR	-0.001607	-0.001554	0.003970	-0.001250	-0.002749
djlB	-0.004249	-0.003859	-0.003462	-0.003859	0.007229
ybeT	-0.000906	-0.000881	-0.000352	-0.000881	0.001231
ybeU	-0.004136	-0.004136	-0.004136	-0.004588	0.008594
djlC	-0.000058	0.026597	0.000000	0.000000	0.000000
hscC	0.011765	0.003350	0.003610	-0.007045	0.003350
rihA	-0.000155	-0.000226	0.000309	-0.000155	-0.000155
gltL	-0.003668	-0.003668	0.007670	-0.003668	-0.004105
gltK	0.029681	0.003042	0.000000	0.000000	0.000000
gltJ	-0.000530	-0.000199	0.000398	-0.000199	-0.000199
gltI	0.026238	0.000772	-0.006711	0.000623	0.005994
lnt	-0.004203	-0.021153	0.003737	0.000430	-0.004203
ybeX	0.013583	-0.013487	0.000126	-0.000252	0.000126
ybeY	-0.006710	0.006538	-0.003273	-0.002091	0.005314
ybeZ	0.000009	0.000009	0.000009	0.000197	-0.000206
miaB	0.059643	0.011544	-0.024219	0.011698	0.011544
ubiF	0.015041	-0.000562	0.000000	0.000000	0.000000
asnB	0.014466	0.000000	0.000000	0.000000	0.000000
nagD	0.057404	0.024028	-0.049032	0.021137	0.024028
nagC	0.016667	-0.069936	-0.003697	-0.003697	0.007301
nagA	-0.001980	-0.002469	-0.002469	-0.002516	0.004942
nagB	0.024704	-0.000704	0.000200	-0.000401	0.000200
nagE	-0.000108	-0.000108	0.000532	-0.000108	-0.000425
glnS	0.005833	0.002014	-0.004270	0.002224	0.002014
ybfM	-0.000002	-0.000665	0.000353	-0.000002	-0.000350
ybfN	-0.000094	-0.000094	0.000438	-0.000094	-0.000345
fur	-0.004813	-0.002739	-0.002739	-0.002739	0.005426
fldA	0.003863	0.003863	-0.009566	0.013862	-0.004649
ybfE	-0.000165	-0.000165	-0.000165	-0.000670	0.000834
ybfF	-0.002538	-0.002538	-0.001950	0.005294	-0.003395
seqA	0.056129	0.055678	0.015055	-0.031773	0.015055
pgm	0.070581	-0.012801	0.000345	-0.000296	-0.000049
ybfP	-0.000938	0.002255	0.000622	-0.000174	-0.000449
ybfG	-0.027619	0.071915	-0.001627	-0.007657	0.009118
ybfG	-0.000069	-0.000002	0.000541	-0.000202	-0.000339
potE	0.000065	0.000065	0.000065	0.000065	-0.000130
speF	-0.000181	-0.000133	0.000466	-0.000133	-0.000333
kdpE	-0.002045	-0.002045	-0.002045	-0.002045	0.004061
kdpD	-0.007088	-0.004752	-0.004752	0.009350	-0.004752
kdpC	-0.014282	-0.013518	-0.013518	-0.013825	0.026116
kdpB	0.000048	0.000048	0.000512	-0.000348	-0.000164
kdpA	0.000025	0.000211	0.000783	0.001499	-0.002292
ybfA	-0.013384	-0.013128	-0.012588	0.024627	-0.013128
rhsC	-0.008492	-0.000106	0.000418	-0.000303	-0.000115
b0701	-0.000906	0.031219	0.000000	0.000000	0.000000
ybfB	-0.003796	0.042838	-0.003796	-0.004228	0.007914
ybfO	-0.000135	0.001315	0.000271	-0.000135	-0.000135
ybfC	-0.003354	-0.003433	0.006912	-0.003642	-0.003354
ybfD	-0.001527	-0.000662	0.001906	-0.000662	-0.001250
ybgA	0.151184	0.003628	0.004134	-0.007603	0.003370
phr	-0.010179	0.002576	-0.005361	0.015575	-0.010659
ybgI	0.016085	-0.022483	-0.008429	-0.001124	0.009368
ybgJ	-0.006618	-0.018962	-0.006618	0.012941	-0.006618
ybgK	0.015369	-0.025230	0.000015	-0.000030	0.000015
ybgL	0.038457	-0.006087	0.000360	-0.000180	-0.000180
nei	0.061303	0.007279	0.020948	0.007200	-0.029715
abrB	-0.003843	-0.001536	0.005820	-0.001536	-0.004348
ybgO	-0.000023	-0.000023	0.000496	0.000981	-0.001480
ybgP	0.000152	0.000152	0.000152	-0.000304	0.000152
ybgQ	-0.000381	-0.000241	0.001083	-0.000241	-0.000844
ybgD	-0.000258	-0.000258	0.000823	-0.000258	-0.000567
gltA	0.025716	-0.013264	-0.000571	0.001140	-0.000571
sdhC	0.033547	-0.030331	0.000029	0.000029	-0.000058
sdhD	-0.000169	-0.000156	0.000160	-0.000004	-0.000156
sdhA	0.012647	-0.021402	-0.009138	0.006890	0.002093
sdhB	0.028029	-0.026218	-0.000749	0.005980	-0.005306
b0725	0.047337	0.002613	0.003413	-0.006287	0.002806
sucA	0.085833	0.007702	-0.004334	-0.003472	0.007702
sucB	0.065268	-0.009374	-0.003990	-0.003585	0.007477
sucC	0.000076	0.000003	0.000205	-0.000207	0.000003
sucD	0.029338	-0.016293	0.000602	-0.001207	0.000602
mngR	0.000000	-0.002376	0.000000	0.000000	0.000000
mngA	0.000205	0.000156	0.000407	0.000205	-0.000613
mngB	-0.006479	-0.003412	-0.003412	0.006744	-0.003412
cydA	0.103046	0.037833	0.025108	-0.054475	0.024637
cydB	0.084905	0.035162	-0.019796	0.001692	0.017306
ybgE	0.002236	0.000900	0.000235	0.000235	-0.000470
ybgC	0.042235	0.000614	-0.000357	0.000614	-0.000257
tolQ	-0.006039	-0.025244	0.012077	-0.006277	-0.006056
tolR	0.003317	0.000191	0.000191	-0.000207	0.000016
tolA	0.003173	-0.053737	0.006464	0.000185	-0.006749
tolB	0.017862	-0.038247	-0.002710	-0.002710	0.005370
pal	0.016065	-0.029566	-0.007961	0.003927	0.003927
ybgF	0.016575	-0.018158	0.008351	-0.004237	-0.004237
nadA	0.019307	0.001741	-0.001291	0.000644	0.000644
pnuC	0.042059	-0.010159	0.033148	-0.010159	-0.025118
ybgS	0.000043	0.004965	0.000313	-0.000281	-0.000033
aroG	0.044323	-0.005923	-0.031334	0.017043	0.012663
gpmA	0.001597	0.006006	-0.003212	0.001597	0.001597
galM	0.024570	-0.015354	-0.014177	-0.014498	0.027329
galK	-0.051940	-0.027597	0.021040	-0.011136	-0.010694
galT	0.004998	0.001036	0.001345	-0.002391	0.001036
galE	-0.004872	-0.003703	0.000717	0.002907	-0.003649
modF	0.008759	-0.053649	-0.015119	0.009860	0.004860
modE	-0.001035	-0.017731	-0.016667	-0.020073	0.034556
ybhT	0.076794	-0.035735	0.000000	0.000000	0.000000
modC	-0.024322	-0.024408	-0.023788	0.044682	-0.024597
ybhA	-0.000474	-0.000994	0.000977	-0.000505	-0.000474
pgl	-0.013853	-0.013853	0.026978	-0.013456	-0.014835
ybhD	0.000024	0.000024	0.000551	-0.000576	0.000024
ybhH	-0.000075	-0.000075	0.000549	-0.000075	-0.000475
ybhI	-0.000542	-0.000421	0.001347	-0.000618	-0.000732
ybhJ	-0.003512	-0.003423	0.007214	-0.003538	-0.003766
ybhC	0.013685	-0.003854	-0.001424	-0.003356	0.004739
ybhB	0.093408	0.019112	0.008010	0.007950	-0.016413
bioA	0.034753	0.012820	0.013331	0.012820	-0.027395
bioF	0.015827	0.000279	0.000279	0.000279	-0.000558
bioD	0.126396	0.076781	-0.005535	0.002453	0.003029
uvrB	0.046052	0.000080	0.000080	-0.000160	0.000080
ybhK	-0.011254	-0.076709	-0.003903	-0.004200	0.007991
moaA	0.035759	-0.170194	-0.013219	0.006461	0.006461
moaB	-0.010342	0.002853	-0.015602	0.012288	0.002853
moaC	-0.000101	-0.000366	0.000249	-0.000125	-0.000125
moaD	-0.041594	-0.010191	0.007026	0.002498	-0.009695
moaE	0.005192	-0.013788	-0.001939	0.001067	0.000866
ybhL	0.086933	0.001036	0.001036	-0.002080	0.001036
ybhM	-0.008035	-0.004747	-0.004451	-0.004451	0.008768
ybhN	0.021557	0.000230	0.000729	-0.000377	-0.000353
ybhP	0.096914	0.044737	0.001729	0.001634	-0.003382
ybhQ	-0.014613	-0.011937	0.023307	-0.012343	-0.011937
ybhR	0.009588	0.009504	0.010017	-0.020205	0.009504
ybhS	-0.000137	0.000045	0.000702	0.000045	-0.000749
ybhG	0.001137	0.004137	0.001137	-0.002283	0.001137
ybiH	-0.007839	-0.007860	-0.007367	-0.007850	0.014828
rhlE	-0.005622	-0.016513	0.011520	-0.005714	-0.006040
ybiA	0.000097	0.000119	0.000439	0.000065	-0.000504
dinG	-0.000036	-0.000036	0.000455	-0.000036	-0.000419
ybiB	0.007338	-0.000094	0.000240	-0.000323	0.000083
ybiC	-0.010506	-0.044940	-0.010506	0.001998	0.008298
ybiJ	0.053721	0.015516	0.015516	-0.010825	-0.005136
ybiI	0.000295	0.010332	0.001133	0.000295	-0.001432
ybiX	-0.000518	-0.000196	0.000392	-0.000196	-0.000196
fiu	-0.000122	-0.000122	0.000525	-0.000122	-0.000404
mcbA	0.000030	0.000030	0.000589	0.000030	-0.000620
rlmF	-0.003106	0.004179	-0.003073	-0.004156	0.007139
ybiO	0.001105	0.001105	-0.004450	0.003308	0.001105
glnQ	0.039788	-0.039867	0.005429	-0.011066	0.005429
glnP	0.002226	-0.017488	-0.004356	0.002272	0.002052
glnH	0.008500	-0.023430	0.002482	-0.010304	0.007626
dps	0.208523	0.146793	-0.013610	0.018248	-0.005270
rhtA	0.000013	0.000013	0.000554	-0.000114	-0.000440
ompX	0.136011	0.115970	-0.053439	0.023087	0.025790
ybiP	0.000000	0.000000	0.000000	0.000000	0.000000
yliL	-0.001346	-0.000542	0.000820	-0.000314	-0.000508
mntR	-0.009073	-0.006402	-0.006402	0.012527	-0.006402
ybiS	0.050281	-0.002401	0.001185	-0.000670	-0.000518
ybiT	0.003469	-0.033181	-0.011395	0.021931	-0.011395
ybiU	-0.005667	-0.007319	-0.005667	-0.005667	0.011116
ybiV	0.000178	0.015992	0.000178	-0.000028	-0.000150
ybiY	-0.000293	-0.000293	0.000968	-0.000293	-0.000677
fsaA	-0.000008	-0.000008	0.000652	-0.000008	-0.000645
moeB	-0.000257	-0.000262	0.000197	0.000060	-0.000257
moeA	-0.003836	-0.003836	0.008907	-0.003836	-0.005211
iaaA	0.062992	-0.002645	-0.025332	0.001381	0.022624
gsiA	0.035051	-0.008540	0.005516	-0.012006	0.006245
gsiB	0.031518	-0.019583	0.016344	-0.008400	-0.008417
gsiC	0.059559	-0.006979	-0.006459	0.018581	-0.012758
gsiD	0.029808	-0.053647	0.000393	-0.001353	0.000957
yliE	0.051154	-0.018192	0.000085	-0.000170	0.000085
yliF	0.041197	-0.011938	-0.005970	0.020377	-0.015196
yliG	0.002504	0.000585	0.000585	0.000006	-0.000591
bssR	0.050744	0.000113	0.000750	0.000113	-0.000865
yliI	-0.000136	-0.000136	-0.000136	0.000461	-0.000326
yliJ	0.000000	0.000000	0.000000	0.000000	0.000000
dacC	0.000000	-0.001034	0.000000	0.000000	0.000000
deoR	0.002487	0.021471	0.002487	-0.005017	0.002487
ybjG	-0.000307	-0.000707	0.000472	-0.000166	-0.000307
cmr	0.000000	0.000000	0.000000	0.000000	0.000000
ybjH	0.013674	0.040460	-0.001854	-0.003590	0.005392
ybjI	-0.013345	-0.036417	-0.008039	0.020611	-0.013345
ybjJ	-0.003787	-0.018819	-0.018271	-0.018864	0.034910
ybjK	-0.000379	0.056240	0.000758	-0.000379	-0.000379
ybjL	0.001190	0.000154	0.000754	0.000154	-0.000910
ybjM	-0.000020	-0.000089	0.000474	-0.000172	-0.000303
grxA	0.012483	0.012264	-0.028532	0.012483	0.014699
ybjC	0.104168	0.125541	0.013604	-0.038549	0.022476
nfsA	0.058733	0.023507	0.000255	-0.000511	0.000255
rimK	0.061271	0.000496	0.000496	0.000496	-0.000994
ybjN	0.019809	0.004970	0.004510	-0.009638	0.004970
potF	0.034646	0.001002	0.001002	0.001002	-0.002011
potG	-0.007125	-0.007255	0.003255	-0.007125	0.003783
potH	-0.003336	-0.004149	-0.003336	-0.003336	0.006595
potI	-0.000058	-0.000058	0.001030	-0.000716	-0.000316
ybjO	0.000313	0.002249	0.000191	0.000094	-0.000285
rumB	0.000838	0.000094	0.000094	0.000094	-0.000188
artJ	0.056579	-0.017855	-0.043097	0.020127	0.019961
artM	0.022432	-0.048859	0.013555	-0.004820	-0.009070
artQ	0.051561	0.004516	0.004516	-0.009176	0.004516
artI	0.016283	0.018099	0.000392	-0.000211	-0.000182
artP	0.152056	0.070780	-0.023996	0.011346	0.011690
ybjP	0.068246	0.002163	-0.002687	0.001337	0.001337
ybjQ	0.000000	0.000000	0.000000	0.000000	0.000000
amiD	0.000482	0.022537	0.000482	0.000482	-0.000966
ybjT	-0.003538	0.000007	0.000375	-0.000383	0.000007
ltaE	0.008613	0.000005	0.000375	0.000005	-0.000380
poxB	0.055431	0.013456	0.001992	0.001398	-0.003410
hcr	-0.000153	-0.000309	0.000489	-0.000153	-0.000336
hcp	0.000702	0.000702	0.001220	-0.001649	0.000424
ybjE	-0.000171	-0.000439	0.000342	-0.000171	-0.000171
aqpZ	-0.004721	-0.004721	-0.004721	-0.004721	0.009290
ybjD	0.007664	-0.012818	-0.001798	0.003574	-0.001798
ybjX	-0.000065	-0.036430	-0.000065	0.000130	-0.000065
macA	0.004693	-0.001770	0.000404	-0.000437	0.000032
cspD	0.001105	0.051753	0.001105	-0.002219	0.001105
clpS	0.000024	-0.000041	0.000144	-0.000041	-0.000103
clpA	-0.003208	-0.003394	0.006980	-0.003511	-0.003554
infA	0.016259	-0.003200	-0.001018	0.004184	-0.003200
aat	-0.017581	-0.019546	0.033059	-0.017524	-0.017524
cydC	-0.000157	-0.000176	0.000315	-0.000157	-0.000157
cydD	0.046558	-0.019589	0.000000	0.000000	0.000000
trxB	0.038708	-0.004540	-0.004203	-0.003324	0.007430
lrp	-0.001270	-0.012656	-0.001270	-0.001345	0.002604
ftsK	-0.010490	-0.012058	0.020201	-0.010439	-0.010490
lolA	-0.000084	-0.000126	0.000252	-0.000126	-0.000126
rarA	0.005544	0.000239	0.000264	-0.000504	0.000239
serS	0.024371	0.001670	0.001670	0.001670	-0.003360
dmsB	0.016244	0.000000	0.000000	0.000000	0.000000
dmsC	-0.000042	-0.000042	0.000424	-0.000089	-0.000336
ycaC	0.053892	0.135174	-0.003073	-0.003533	0.006531
ycaD	-0.000862	-0.026199	0.001580	0.000585	-0.002174
ycaM	-0.001703	-0.000181	0.000362	-0.000181	-0.000181
ycaN	-0.000115	0.003668	0.000564	-0.000090	-0.000474
ycaK	-0.001023	-0.000293	-0.000293	-0.000293	0.000586
pflA	0.075929	0.008933	0.039796	-0.029840	-0.013032
focA	0.072995	0.009190	0.003292	-0.012779	0.009190
ycaO	0.000058	0.000058	0.000058	0.000058	-0.000115
ycaP	0.000608	-0.000201	0.000822	-0.000622	-0.000201
serC	0.026878	0.002419	-0.004879	0.002419	0.002419
aroA	0.019032	-0.000033	0.000000	0.000000	0.000000
ycaL	-0.000248	0.000000	0.000000	0.000000	0.000000
cmk	0.005286	-0.003840	0.013962	-0.010491	-0.003840
rpsA	0.019651	-0.008083	-0.000950	-0.003840	0.004747
ihfB	-0.000063	-0.000063	0.000125	-0.000063	-0.000063
ycaI	0.000231	-0.000056	0.000310	-0.000056	-0.000253
msbA	0.000069	-0.000172	0.000000	0.000000	0.000000
lpxK	-0.015933	-0.118472	-0.016741	0.031948	-0.017061
ycaQ	0.013027	-0.000820	0.000000	0.000000	0.000000
ycaR	0.035412	-0.018987	-0.004029	0.002001	0.002001
kdsB	0.004494	0.004480	-0.009611	-0.006874	0.016026
ycbJ	0.007091	-0.001096	0.000695	-0.000296	-0.000399
ycbC	0.000216	0.000011	0.000376	-0.000187	-0.000189
smtA	0.005177	-0.004008	0.000245	0.000245	-0.000490
mukF	0.057049	0.000992	0.000992	-0.001990	0.000992
mukE	-0.005120	-0.081301	0.003377	0.009855	-0.013568
mukB	0.025849	0.003605	0.003605	0.003605	-0.007301
ycbB	-0.000776	-0.000776	0.003537	0.001142	-0.004720
ycbK	0.066575	0.003927	-0.003761	0.001868	0.001868
ycbL	0.026773	0.001400	0.001400	0.001400	-0.002813
aspC	0.020606	-0.021002	-0.005701	0.007117	-0.001515
ompF	-0.272721	-0.228725	-0.005369	-0.000334	0.005633
pncB	0.058668	-0.020541	-0.002695	0.001341	0.001341
pepN	0.040139	-0.032510	0.006197	-0.012665	0.006197
ssuB	0.000755	0.000000	0.000000	0.000000	0.000000
ssuC	0.000266	0.000220	0.000220	-0.000249	0.000029
ssuA	-0.000359	0.000000	0.000000	0.000000	0.000000
ssuE	0.010778	0.011693	0.000746	0.000746	-0.001496
ycbQ	-0.000851	-0.000786	0.000414	-0.001620	0.001202
ycbR	0.000201	0.000201	0.000863	0.000201	-0.001067
ycbS	-0.002571	0.017273	-0.000395	-0.000395	0.000788
ycbT	0.050841	0.000106	0.000261	0.000261	-0.000523
ycbV	0.000040	-0.000154	0.000335	-0.000072	-0.000263
ycbF	0.000129	0.000055	0.000601	0.000007	-0.000608
pyrD	0.004527	-0.000350	0.000436	-0.000170	-0.000266
ycbW	0.035348	-0.006448	0.005194	-0.019489	0.013617
ycbX	-0.000483	0.000021	0.000021	-0.000042	0.000021
